A.C.A.A	A.C.A.C	A.C.A.G	A.C.A.T	C.C.A.A	C.C.A.C	C.C.A.G	C.C.A.T	G.C.A.A	G.C.A.C	G.C.A.G	G.C.A.T	T.C.A.A	T.C.A.C	T.C.A.G	T.C.A.T	A.C.G.A	A.C.G.C	A.C.G.G	A.C.G.T	C.C.G.A	C.C.G.C	C.C.G.G	C.C.G.T	G.C.G.A	G.C.G.C	G.C.G.G	G.C.G.T	T.C.G.A	T.C.G.C	T.C.G.G	T.C.G.T	A.C.T.A	A.C.T.C	A.C.T.G	A.C.T.T	C.C.T.A	C.C.T.C	C.C.T.G	C.C.T.T	G.C.T.A	G.C.T.C	G.C.T.G	G.C.T.T	T.C.T.A	T.C.T.C	T.C.T.G	T.C.T.T	A.T.A.A	A.T.A.C	A.T.A.G	A.T.A.T	C.T.A.A	C.T.A.C	C.T.A.G	C.T.A.T	G.T.A.A	G.T.A.C	G.T.A.G	G.T.A.T	T.T.A.A	T.T.A.C	T.T.A.G	T.T.A.T	A.T.C.A	A.T.C.C	A.T.C.G	A.T.C.T	C.T.C.A	C.T.C.C	C.T.C.G	C.T.C.T	G.T.C.A	G.T.C.C	G.T.C.G	G.T.C.T	T.T.C.A	T.T.C.C	T.T.C.G	T.T.C.T	A.T.G.A	A.T.G.C	A.T.G.G	A.T.G.T	C.T.G.A	C.T.G.C	C.T.G.G	C.T.G.T	G.T.G.A	G.T.G.C	G.T.G.G	G.T.G.T	T.T.G.A	T.T.G.C	T.T.G.G	T.T.G.T
PD26407_1_chr15_chr15-20001712-102431166-gain	1	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	1	1	1	1	1	1	1	1	0	1	1	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	2	2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1
PD26407_2_chr15_chr15-20001712-102431166-gain	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD26429_2_chr15_chr15-20001861-102327049-gain	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	1	0	0	0	3
PD26419_1_chr15_chr15-60664843-89764620-gain	1	1	0	0	1	1	0	2	1	0	0	0	0	2	0	2	1	1	0	0	0	1	0	0	0	0	0	1	2	3	1	6	0	0	1	0	2	0	1	0	1	0	3	0	6	4	1	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	3	1	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
MMRC00GABM_3_chr15_chr15-20001774-102431166-gain_2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	3	0	1	1	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
MMRC023ZBM_1_chr15_chr15-20001774-102431166-gain	3	10	0	1	2	1	2	5	1	2	0	3	1	3	1	3	1	4	0	0	9	3	0	3	6	0	0	0	6	4	0	2	6	4	5	4	4	1	4	5	11	7	5	8	7	3	1	4	1	1	0	7	1	0	4	1	1	1	1	2	2	4	0	0	8	1	2	3	3	2	2	3	2	5	0	1	2	2	1	4	2	1	1	2	5	3	1	2	3	0	0	0	7	0	1	9
PD26419_2_chr15_chr15-60664843-89764620-gain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
MMRC01Q1BM_2_chr15_chr15-42245652-102403326-gain	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	1	0	2	0	0	0	1	1	0	1	0	1	2	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0
PD26409_1_chr15_chr15-20001774-102379950-gain	0	1	0	0	0	1	0	3	1	0	0	0	2	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1	1	2	2	1	1	1	3	1	1	3	1	1	1	0	4	1	0	2	1	2	1	0	0	1	0	0	0	1	1	1	1	4	0	2	2	0	2	3	1	1	2	1	3	0	1	2	3	1	0	1	2	0	0	0	3	0	0	0	0	0	2	2	1
MMRC00GABM_1_chr15_chr15-20001774-102431166-gain_2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	3	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
V0D56W_1_chr15_chr15-20001712-102330356-gain	1	4	0	1	1	0	0	0	1	3	0	0	0	1	0	6	2	0	0	2	0	0	0	1	2	0	0	2	2	0	0	9	3	4	2	2	0	0	2	4	0	3	1	2	7	5	1	8	0	1	0	2	0	1	1	0	0	0	1	0	1	0	0	3	1	0	0	1	2	2	2	3	3	0	0	1	1	0	1	1	0	0	2	0	0	0	0	2	0	1	0	2	2	0	1	1
PD26409_2_chr15_chr15-20001774-102379950-gain	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1
PD26411_1_chr15_chr15-20061079-102431166-gain	1	0	0	0	0	0	0	3	0	0	0	2	0	1	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	1	0	1	2	2	1	1	2	2	1	2	1	1	1	2	0	1	0	0	0	2	0	0	0	0	0	0	0	2	1	2	0	0	1	1	1	0	0	0	0	1	1	0	1	0	3	0	1	1	0	0	0	0	1	0	0	0	1	1	1	1	2
MMRC023ZBM_2_chr15_chr15-20001774-102431166-gain	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
PD26408_1_chr15_chr15-20001774-102431166-gain	1	1	0	1	0	0	0	0	2	0	0	2	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	2	1	0	1	1	0	0	0	1	1	1	1	1	1	0	2	0	0	0	1	0	0	0	0	2	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
PD26408_2_chr15_chr15-20001774-102431166-gain	2	0	0	0	4	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	2	2	4	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
PD26403_1_chr15_chr15-20037601-102431166-gain	1	2	0	0	2	1	0	3	2	0	1	2	1	2	0	0	3	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	3	2	4	1	1	3	1	2	2	1	2	6	1	2	2	2	2	1	2	1	0	2	1	2	0	0	0	0	2	0	1	1	1	0	2	3	0	1	1	1	1	0	2	1	2	0	0	4	1	0	0	2	1	1	1	3	0	0	0	0	0	0	0	1
PD26411_2_chr15_chr15-20061079-102431166-gain	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
V0D56W_2_chr15_chr15-20001712-102330356-gain	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD26403_2_chr15_chr15-20037601-102431166-gain	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	1	1	1	2	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
V0D57M_1_chr15_chr15-20061338-87729272-gain	1	0	0	2	2	1	1	4	1	1	0	0	0	0	0	2	0	2	0	2	0	1	0	1	0	0	0	0	0	1	0	2	1	3	4	1	2	3	6	0	1	0	3	2	6	1	1	3	0	1	0	0	1	1	1	0	0	0	0	0	2	0	1	0	2	1	2	0	1	1	1	2	2	0	2	1	1	0	0	0	0	0	0	1	0	0	1	2	0	0	1	1	0	0	2	0
V0D57M_2_chr15_chr15-20061338-87729272-gain	0	0	0	1	0	0	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	2
MMRC006BBM_1_chr16_chr16-13401761-35272667-gain	0	1	0	0	2	2	0	0	0	1	0	0	0	1	1	2	1	0	0	0	0	1	0	1	1	0	0	0	2	0	0	9	0	0	0	0	3	0	1	2	1	0	0	0	11	3	1	11	0	0	0	1	4	0	1	0	1	0	0	0	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PD26400_2_chr16_chr16-35043157-90165964-LOH	0	0	0	0	2	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	1	1	0	1	0	0	0	1	0	1	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	2	1	0	1	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	2	0	0	0
MMRC006BBM_1_chr16_chr16-46503160-89998957-LOH	0	0	0	1	1	0	0	0	2	0	0	1	3	2	0	1	0	1	0	0	0	1	0	2	0	0	0	0	9	1	0	13	1	0	0	1	0	2	1	1	2	1	2	2	25	4	6	13	0	0	0	0	2	0	0	0	0	0	3	0	3	1	0	2	1	0	1	0	3	1	1	1	2	0	0	0	1	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	2	0	0	0
MMRC006BBM_2_chr16_chr16-13401761-35272667-gain	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRC006BBM_2_chr16_chr16-46503160-89998957-LOH	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	0	1	3	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
PD26400_1_chr16_chr16-35043157-90165964-LOH	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD26429_1_chr16_chr16-34204266-90166109-LOH	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	1	1	1	0	0	3	0	1	2	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PD26429_2_chr16_chr16-34204266-90166109-LOH	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
MMRC0244BM_1_chr17_chr17-11474901-79998834-gain	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	2	1	0	0	1	1	4	5	1	0	2	1	1	4	0	0	0	1	0	1	0	1	0	0	0	0	2	0	1	1	0	1	2	1	0	1	1	3	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	1	0	3
MMRC0244BM_2_chr17_chr17-11474901-79998834-gain	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	2
V0D56W_1_chr17_chr17-42168214-79936986-gain	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
V0D56W_2_chr17_chr17-42168214-79936986-gain	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	3	1	0	0	2	3	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
V0D57M_1_chr17_chr17-43437346-79998898-gain	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	2	1	0	1	0	1	0	0	0	0	0	0	0	1	2	0	3	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0
V0D57M_2_chr17_chr17-43437346-79998898-gain	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	2	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	3
PD26424_1_chr18_chr18-125371-78014614-gain	4	1	0	0	4	3	0	2	1	0	1	2	4	3	0	3	4	1	1	1	0	0	0	0	0	3	0	0	3	2	0	2	1	3	3	6	5	1	2	2	4	1	4	4	14	8	0	13	5	2	1	5	1	1	0	2	0	0	2	2	4	1	3	2	6	4	1	10	0	2	3	0	6	0	2	2	1	3	3	5	11	2	1	2	3	1	1	2	1	0	2	2	9	0	3	3
PD26424_2_chr18_chr18-125371-78014614-gain	0	0	0	0	0	0	1	0	0	2	0	1	3	2	0	2	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	2	0	0	1	0	1	0	1	0	0	1	1	0	2	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	3	0	0	1	2	0	0	3	2	1	0	0	0	1	1	0	3	0	0	1	3	0	1	2	2	0	1	0	12	1	0	3
PD26400_1_chr18_chr18-125371-77972066-gain	2	2	0	1	4	2	0	7	2	3	0	0	2	3	0	3	0	1	0	1	0	1	0	3	0	0	0	0	1	4	0	2	3	1	1	1	1	2	2	4	1	1	6	3	6	3	2	3	3	2	3	4	0	0	1	2	0	0	1	2	0	2	3	1	1	4	3	6	1	4	0	3	1	4	0	2	0	2	0	2	1	2	2	0	1	0	0	3	0	0	5	3	2	4	2	5
PD26400_2_chr18_chr18-125371-77972066-gain	1	0	0	0	0	0	2	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	1	1	2	0	2	0	1	1	1	0	1	0	0	1	2	0	0	1	3	0	0	1	3	0	0	0	2
MMRC006BBM_2_chr18_chr18-11715949-78017073-gain	1	0	0	1	1	2	0	1	2	1	0	0	3	3	0	5	1	0	0	0	0	0	0	0	0	0	0	0	4	2	0	1	1	0	5	1	0	0	1	2	1	0	2	0	10	5	2	3	2	1	3	2	1	0	1	2	1	0	0	0	0	0	0	1	0	3	0	0	0	1	0	1	2	1	0	1	0	1	1	3	0	0	1	1	0	0	1	0	0	0	0	2	2	0	0	0
MMRC006BBM_1_chr18_chr18-11715949-78017073-gain	6	1	0	1	4	1	0	1	2	0	0	1	2	2	2	7	1	1	0	3	1	0	0	2	0	0	0	2	14	4	0	7	2	3	1	3	8	4	1	3	3	2	2	1	55	13	7	24	1	1	1	1	5	0	1	5	4	0	1	1	5	0	1	4	5	1	2	1	1	0	0	1	0	3	0	0	4	0	0	2	2	0	0	0	1	0	0	2	1	0	2	3	2	1	0	0
V0D57H_1_chr18_chr18-52635827-78014582-gain	2	4	0	1	6	1	0	2	1	1	0	4	2	2	0	5	0	0	0	1	0	0	1	0	0	0	0	1	1	2	0	1	5	0	2	2	1	0	1	1	0	0	0	1	6	4	1	3	4	1	1	2	0	3	0	4	1	1	0	1	3	2	1	4	1	0	1	3	0	3	0	0	2	0	1	0	0	0	0	0	1	0	2	0	2	0	1	1	0	0	0	0	2	0	1	1
V0D57H_2_chr18_chr18-52635827-78014582-gain	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1
PD26412_1_chr18_chr18-125371-78001550-gain_2	2	0	0	1	2	2	1	0	1	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	1	1	0	1	0	2	0	2	0	1	0	1	2	0	2	3	0	1	0	0	0	1	0	0	0	2	1	0	4	0	1	1	0	1	0	1	0	0	0	0	2	0	0	1	1	0	0	0	1	0	0	2	0	0	0	2	3	0	1	0
PD26412_3_chr18_chr18-125371-78001550-gain_2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	3	0	0	2	2	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	2	1	1	0	2	0	1	1	0	1	1	1	0	2	0	1	0	0	0	1	1	0	0	1	0	1	0	0	3
PD26412_2_chr18_chr18-125371-78001550-gain_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1
PD26432_2_chr19_chr19-226776-59097308-gain_2	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	1	2	1	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0
PD26432_1_chr19_chr19-226776-59097308-gain_2	0	2	0	1	0	3	1	2	0	0	0	0	1	0	0	1	0	0	0	0	1	1	2	0	0	0	0	1	0	1	0	0	3	0	3	0	0	1	1	1	2	2	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	3	2	0	1	1	0	2	2	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
PD26424_1_chr19_chr19-226776-59098064-gain	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	0	2	2	1	0	1	1	0	1	4	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	1	1	1	2	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1
PD26435_1_chr19_chr19-240646-50291947-gain	4	2	1	2	1	1	0	1	0	2	0	1	2	2	0	0	1	0	0	3	1	0	0	0	0	0	0	1	0	1	0	2	2	1	1	3	0	2	2	4	3	0	1	3	5	2	1	0	0	0	1	1	1	3	2	2	0	0	1	1	0	1	0	1	1	0	1	3	0	1	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1
PD26403_1_chr19_chr19-226776-59096950-gain	1	2	0	0	0	1	0	2	1	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	3	0	0	0	2	2	1	3	4	2	0	2	0	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	0	1	0	2	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1
MMRC023ZBM_1_chr19_chr19-3872925-49276287-gain	1	1	0	1	1	0	0	3	0	0	0	1	1	1	0	0	1	0	0	0	7	1	0	2	5	1	0	0	1	2	0	0	1	4	3	1	5	1	0	2	7	8	2	4	3	0	1	2	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	0	1	1	1	1	1	1	3	1	0	0	1	2	2	1	0	0	0	0	0	2	1	0	1	2	1	0	0	0	2	0	0	3
PD26435_2_chr19_chr19-240646-50291947-gain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PD26403_2_chr19_chr19-226776-59096950-gain	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
MMRC01Q1BM_1_chr19_chr19-253613-58913444-gain	1	0	0	1	1	2	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	1	1	2	1	1	1	0	0	1	1	3	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
MMRC01Q1BM_2_chr19_chr19-253613-58913444-gain	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	1	1	2	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0
PD26424_2_chr19_chr19-226776-59098064-gain	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MMRC023ZBM_2_chr19_chr19-3872925-49276287-gain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V0D56W_1_chr19_chr19-245631-57828896-gain	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	2	0	1	3	1	1	0	2	0	0	2	0	1	1	0	5	7	1	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
